meme_id,image_path,blip_caption
110002,./memes_training/110002.jpeg,a group of men in suits and ties standing next to each other
110006,./memes_training/110006.jpeg,a cartoon of a woman in a blue mask and a man in a black hat
110007,./memes_training/110007.jpeg,a picture of a picture of jesus sitting on a bench with people
110009,./memes_training/110009.jpeg,a close up of a godzilla attacking a crab on a beach
110013,./memes_training/110013.jpeg,a cartoon of a man with a beard and glasses next to another man with a beard
110014,./memes_training/110014.jpeg,there is a skeleton sitting on a bench with a heart in it
110017,./memes_training/110017.jpeg,a woman laughing while holding a chocolate bar in her hand
110019,./memes_training/110019.jpeg,arafed woman sitting on a couch with a dog in her lap
110020,./memes_training/110020.jpeg,"a cartoon picture of a group of people with the words,'dia de la mujer expect"
110021,./memes_training/110021.jpeg,a close up of a person with a cartoon on a poster
110023,./memes_training/110023.jpeg,there is a man holding a camera in front of a building
110025,./memes_training/110025.jpeg,there are four different types of people with beards and mustaches
110028,./memes_training/110028.jpeg,a close up of a person on a cell phone with a tweet
110029,./memes_training/110029.jpeg,there are two men with their hands in the air and one is holding a sign
110031,./memes_training/110031.jpeg,a cartoon image of a man with a caption saying when metn 30 anos en la
110032,./memes_training/110032.jpeg,a close up of a cell phone with a picture of a man and a woman
110033,./memes_training/110033.jpeg,arafed image of a man and woman in a business suit
110035,./memes_training/110035.jpeg,a man holding a giant gun with a caption in spanish
110036,./memes_training/110036.jpeg,arafed picture of a woman laying on a couch with a cat
110039,./memes_training/110039.jpeg,a cartoon picture of a group of people in a pool
110042,./memes_training/110042.jpeg,a picture of a man with a camera and a woman with a camera
110043,./memes_training/110043.jpeg,there is a man smoking a cigarette in a dark room
110044,./memes_training/110044.jpeg,a cartoon of a graph with a woman and a man in the middle
110046,./memes_training/110046.jpeg,a cartoon of a woman pushing a baby carriage with a man in a suit
110047,./memes_training/110047.jpeg,a man with a beard and mustache is looking at the camera
110048,./memes_training/110048.jpeg,a close up of a person in a suit with a text overlay
110049,./memes_training/110049.jpeg,a woman in a scarf and scarf is smiling in the snow
110050,./memes_training/110050.jpeg,arafed image of a man and woman talking to each other
110051,./memes_training/110051.jpeg,"a woman in a suit waving her hand with a caption saying,'mueres al pod"
110052,./memes_training/110052.jpeg,a black and white photo of a woman with glasses on her face
110053,./memes_training/110053.jpeg,a picture of a woman in a green dress is falling off her leg
110055,./memes_training/110055.jpeg,a poster with a picture of a woman with a brain on it
110056,./memes_training/110056.jpeg,a close up of a lemur with a hand up in the air
110057,./memes_training/110057.jpeg,a tweee with a picture of a rabbit on it and the american flag
110058,./memes_training/110058.jpeg,arafed text message from a woman about her car
110059,./memes_training/110059.jpeg,a picture of a woman with a speech bubble saying mama cuad termina de cocinar
110060,./memes_training/110060.png,cartoon of a man laying in a hammock with a cross in the background
110062,./memes_training/110062.jpeg,arafed man and woman standing in a street with a caption of institucion
110067,./memes_training/110067.jpeg,a cartoon character with a caption saying el macho
110070,./memes_training/110070.jpeg,a close up of a person in a suit and tie with a caption
110071,./memes_training/110071.jpeg,batman slapping a woman with a bat in a comic book
110072,./memes_training/110072.jpeg,a woman is being held by police officers in a street
110073,./memes_training/110073.jpeg,a cartoon picture of a man and a woman with a child
110074,./memes_training/110074.jpeg,"cartoon spongebob in a kitchen with a caption that reads,'i'm not"
110075,./memes_training/110075.jpeg,a close up of a text message on a computer screen
110078,./memes_training/110078.jpeg,a black and white photo of a man in a suit and tie
110079,./memes_training/110079.jpeg,a cartoon image of a man sitting at a table with a bag of food
110080,./memes_training/110080.jpeg,arafed woman pointing at a cat with a caption of a woman yelling at a cat
110081,./memes_training/110081.jpeg,a picture of a cartoon picture of a woman with red hair and green eyes
110082,./memes_training/110082.jpeg,a picture of a cartoon picture of a princess in a bed
110084,./memes_training/110084.jpeg,a cartoon picture of homer and homer playing guitar in a room
110085,./memes_training/110085.jpeg,a picture of a spider - man is on the phone with a caption
110086,./memes_training/110086.jpeg,a close up of a woman making a face with her mouth open
110087,./memes_training/110087.jpeg,a cartoon picture of a boy and girl in masks and a cat
110088,./memes_training/110088.png,a close up of a twitter post with a bird on it
110091,./memes_training/110091.jpeg,a picture of a stadium with a lot of people in it
110092,./memes_training/110092.jpeg,a woman in a skirt and a man in a red hat are cleaning a bathroom
110093,./memes_training/110093.jpeg,arafed man wearing a yellow shirt with spanish words on it
110094,./memes_training/110094.jpeg,a woman holding her head in her hands with a caption that reads a las muertes
110095,./memes_training/110095.jpeg,there is a man in a suit pointing at the camera
110096,./memes_training/110096.jpeg,arafed image of a man with a funny expression on his face
110097,./memes_training/110097.jpeg,a cartoon picture of a group of people in a bar with a woman in the middle of the
110098,./memes_training/110098.jpeg,cartoon of a woman laying on a bed with a man in a bikini
110099,./memes_training/110099.jpeg,a picture of a picture of a girl and a guy with a pizza
110100,./memes_training/110100.jpeg,"a cartoon image of a guy with a sad face and a caption that says, estamo"
110103,./memes_training/110103.jpeg,a close up of a person in a bed with a picture of a woman
110105,./memes_training/110105.jpeg,a close up of a text message with a picture of a woman
110108,./memes_training/110108.jpeg,a poster with a picture of two children hugging each other
110109,./memes_training/110109.jpeg,"araffe el esculo y no ses as abudara, con la bat"
110110,./memes_training/110110.jpeg,araffes is trying to get a picture of a cat in the mirror
110112,./memes_training/110112.jpeg,a cartoon of a man is trying to get a woman to take him out of the bathroom
110115,./memes_training/110115.jpeg,a picture taken from a facebook account shows a man standing next to a car with a penguin on
110117,./memes_training/110117.jpeg,a man in a red karate outfit is posing for a picture
110119,./memes_training/110119.jpeg,a cartoon picture of a woman in a pink shirt and a man in a police uniform
110120,./memes_training/110120.jpeg,a woman in a bikini holding a fish and a fish
110121,./memes_training/110121.jpeg,newspaper with a picture of a man in a suit and a woman in a dress
110122,./memes_training/110122.png,a close up of two women with gray hair and a white shirt
110124,./memes_training/110124.jpeg,a close up of a person in a bear suit on a computer screen
110125,./memes_training/110125.png,a painting of two men holding hands in front of a painting
110128,./memes_training/110128.jpeg,a man sitting at a table with a microphone in front of him
110129,./memes_training/110129.jpeg,"cartoon of two people in a locker with a sign that says, cuando estas en el"
110131,./memes_training/110131.jpeg,there is a picture of a man that is sitting down with his head in his hands
110132,./memes_training/110132.jpeg,arafed woman in a purple hat and glasses with a surprised look
110134,./memes_training/110134.jpeg,arafed image of a man in a green jacket standing next to another man
110135,./memes_training/110135.jpeg,there is a man and woman that are cutting a mans hair
